timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1531558116935,0,Debug Sampler 3-3,200,OK,线程组 3 1-1,text,true,,202,0,20,20,0,0,0
1531558116936,0,Debug Sampler 3-1,200,OK,线程组 3 1-7,text,true,,203,0,20,20,0,0,0
1531558116956,0,Debug Sampler 3-3,200,OK,线程组 3 1-12,text,true,,203,0,20,20,0,0,0
1531558116965,1,Debug Sampler 3-2,200,OK,线程组 3 1-6,text,true,,203,0,20,20,0,0,0
1531558116975,0,Debug Sampler 3-1,200,OK,线程组 3 1-18,text,true,,202,0,20,20,0,0,0
1531558117016,1,Debug Sampler 3-1,200,OK,线程组 3 1-11,text,true,,203,0,20,20,0,0,0
1531558117018,0,Debug Sampler 3-3,200,OK,线程组 3 1-5,text,true,,202,0,20,20,0,0,0
1531558117026,0,Debug Sampler 3-2,200,OK,线程组 3 1-17,text,true,,203,0,20,20,0,0,0
1531558117056,0,Debug Sampler 3-3,200,OK,线程组 3 1-16,text,true,,203,0,20,20,0,0,0
1531558117056,0,Debug Sampler 3-1,200,OK,线程组 3 1-4,text,true,,202,0,20,20,0,0,0
1531558117077,0,Debug Sampler 3-2,200,OK,线程组 3 1-10,text,true,,201,0,20,20,0,0,0
1531558117106,0,Debug Sampler 3-1,200,OK,线程组 3 1-15,text,true,,202,0,20,20,0,0,0
1531558117106,0,Debug Sampler 3-2,200,OK,线程组 3 1-3,text,true,,202,0,20,20,0,0,0
1531558117115,1,Debug Sampler 3-3,200,OK,线程组 3 1-9,text,true,,203,0,20,20,0,0,0
1531558117156,0,Debug Sampler 3-2,200,OK,线程组 3 1-14,text,true,,203,0,20,20,0,0,0
1531558117166,0,Debug Sampler 3-3,200,OK,线程组 3 1-20,text,true,,202,0,20,20,0,0,0
1531558117166,0,Debug Sampler 3-3,200,OK,线程组 3 1-2,text,true,,203,0,20,20,0,0,0
1531558117166,0,Debug Sampler 3-1,200,OK,线程组 3 1-8,text,true,,203,0,20,20,0,0,0
1531558117216,0,Debug Sampler 3-3,200,OK,线程组 3 1-13,text,true,,202,0,20,20,0,0,0
1531558117216,0,Debug Sampler 3-1,200,OK,线程组 3 1-19,text,true,,203,0,20,20,0,0,0
1531558117236,0,Debug Sampler 3-1,200,OK,线程组 3 1-1,text,true,,203,0,20,20,0,0,0
1531558117236,0,Debug Sampler 3-2,200,OK,线程组 3 1-7,text,true,,202,0,20,20,0,0,0
1531558117256,2,Debug Sampler 3-1,200,OK,线程组 3 1-12,text,true,,203,0,20,20,0,0,0
1531558117267,0,Debug Sampler 3-3,200,OK,线程组 3 1-6,text,true,,202,0,20,20,0,0,0
1531558117276,0,Debug Sampler 3-2,200,OK,线程组 3 1-18,text,true,,203,0,20,20,0,0,0
1531558117316,0,Debug Sampler 3-1,200,OK,线程组 3 1-5,text,true,,202,0,20,20,0,0,0
1531558117317,0,Debug Sampler 3-2,200,OK,线程组 3 1-11,text,true,,203,0,20,20,0,0,0
1531558117326,0,Debug Sampler 3-3,200,OK,线程组 3 1-17,text,true,,203,0,20,20,0,0,0
1531558117356,0,Debug Sampler 3-1,200,OK,线程组 3 1-16,text,true,,203,0,20,20,0,0,0
1531558117356,0,Debug Sampler 3-2,200,OK,线程组 3 1-4,text,true,,203,0,20,20,0,0,0
1531558117376,0,Debug Sampler 3-3,200,OK,线程组 3 1-10,text,true,,203,0,20,20,0,0,0
1531558117408,0,Debug Sampler 3-2,200,OK,线程组 3 1-15,text,true,,202,0,20,20,0,0,0
1531558117409,0,Debug Sampler 3-3,200,OK,线程组 3 1-3,text,true,,203,0,20,20,0,0,0
1531558117417,0,Debug Sampler 3-1,200,OK,线程组 3 1-9,text,true,,202,0,20,20,0,0,0
1531558117456,0,Debug Sampler 3-3,200,OK,线程组 3 1-14,text,true,,202,0,20,20,0,0,0
1531558117466,0,Debug Sampler 3-1,200,OK,线程组 3 1-20,text,true,,203,0,20,20,0,0,0
1531558117467,0,Debug Sampler 3-1,200,OK,线程组 3 1-2,text,true,,203,0,20,20,0,0,0
1531558117467,0,Debug Sampler 3-2,200,OK,线程组 3 1-8,text,true,,203,0,20,20,0,0,0
1531558117517,0,Debug Sampler 3-1,200,OK,线程组 3 1-13,text,true,,203,0,20,20,0,0,0
1531558117517,0,Debug Sampler 3-2,200,OK,线程组 3 1-19,text,true,,202,0,20,20,0,0,0
1531558117536,0,Debug Sampler 3-2,200,OK,线程组 3 1-1,text,true,,202,0,20,20,0,0,0
1531558117537,0,Debug Sampler 3-3,200,OK,线程组 3 1-7,text,true,,203,0,20,20,0,0,0
1531558117557,0,Debug Sampler 3-2,200,OK,线程组 3 1-12,text,true,,202,0,20,20,0,0,0
1531558117567,1,Debug Sampler 3-1,200,OK,线程组 3 1-6,text,true,,203,0,20,20,0,0,0
1531558117577,0,Debug Sampler 3-3,200,OK,线程组 3 1-18,text,true,,202,0,20,20,0,0,0
1531558117616,0,Debug Sampler 3-2,200,OK,线程组 3 1-5,text,true,,203,0,20,20,0,0,0
1531558117617,0,Debug Sampler 3-3,200,OK,线程组 3 1-11,text,true,,203,0,20,20,0,0,0
1531558117626,0,Debug Sampler 3-1,200,OK,线程组 3 1-17,text,true,,203,0,20,20,0,0,0
1531558117656,1,Debug Sampler 3-2,200,OK,线程组 3 1-16,text,true,,203,0,20,20,0,0,0
1531558117657,0,Debug Sampler 3-3,200,OK,线程组 3 1-4,text,true,,203,0,20,20,0,0,0
1531558117677,0,Debug Sampler 3-1,200,OK,线程组 3 1-10,text,true,,202,0,20,20,0,0,0
